date,description,reference_no,debit,credit,balance,mode
01-01-2020,Rent Payment - Factory Premises,RNT202001,400000,0,7600000,NEFT
02-01-2020,RTGS Payment - Surat Fabric Traders,TXN1001,3547825,0,4052175,RTGS
03-01-2020,NEFT Credit - Zenith Industries Ltd,TXN1002,0,14681152,18733327,RTGS
06-01-2020,NEFT Credit - Horizon Corp Ltd,TXN1003,0,6348603,25081930,RTGS
07-01-2020,Salary Payment - All Staff,SAL202001,2200000,0,22881930,NEFT
08-01-2020,NEFT Credit - Falcon Enterprises,TXN1005,0,4581057,27462987,NEFT
09-01-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1006,3399583,0,24063404,RTGS
13-01-2020,NEFT Credit - Ganges Corp,TXN1007,0,14666342,38729746,RTGS
14-01-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1008,3138591,0,35591155,RTGS
16-01-2020,RTGS Payment - Bangalore Thread Works,TXN1009,8758673,0,26832482,RTGS
17-01-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1010,0,2739914,29572396,NEFT
20-01-2020,GST Payment - GSTIN MH29AA1234Z,GST202001,449123,0,29123273,NEFT
21-01-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1012,5583402,0,23539871,RTGS
22-01-2020,NEFT Credit - National Traders,TXN1013,0,12340198,35880069,RTGS
23-01-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1014,11096129,0,24783940,RTGS
24-01-2020,NEFT Credit - Orbit Solutions,TXN1015,0,14252815,39036755,RTGS
27-01-2020,NEFT Credit - Indus Trading,TXN1016,0,14006280,53043035,RTGS
28-01-2020,Electricity Bill - MSEDCL,ELEC202001,234987,0,52808048,NEFT
29-01-2020,NEFT Credit - Falcon Enterprises,TXN1018,0,9776477,62584525,RTGS
30-01-2020,RTGS Payment - Bangalore Thread Works,TXN1019,6347265,0,56237260,RTGS
31-01-2020,NEFT Credit - Northern Exports,TXN1020,0,2349031,58586291,NEFT
03-02-2020,NEFT Credit - Coastal Traders,TXN1021,0,4918638,63504929,NEFT
04-02-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1022,8770293,0,54734636,RTGS
05-02-2020,Loan EMI - Punjab National Bank,EMI1202002,800000,0,53934636,NEFT
06-02-2020,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1024,6341907,0,47592729,RTGS
07-02-2020,Salary Payment - All Staff,SAL202002,2200000,0,45392729,NEFT
11-02-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1026,5292365,0,40100364,RTGS
12-02-2020,NEFT Credit - Coastal Traders,TXN1027,0,7887119,47987483,RTGS
13-02-2020,RTGS Payment - Punjab Suppliers Co,TXN1028,3236017,0,44751466,RTGS
14-02-2020,NEFT Credit - Prestige Manufacturing,TXN1029,0,3862631,48614097,NEFT
17-02-2020,NEFT Credit - Delta Traders,TXN1030,0,8010619,56624716,RTGS
18-02-2020,RTGS Payment - Bangalore Thread Works,TXN1031,6117923,0,50506793,RTGS
19-02-2020,NEFT Credit - Northern Exports,TXN1032,0,2968977,53475770,NEFT
20-02-2020,GST Payment - GSTIN MH29AA1234Z,GST202002,640870,0,52834900,NEFT
21-02-2020,NEFT Credit - Eastern Exports,TXN1034,0,4334235,57169135,NEFT
24-02-2020,NEFT Credit - Prime Exports,TXN1035,0,8590753,65759888,RTGS
25-02-2020,RTGS Payment - Punjab Suppliers Co,TXN1036,10941704,0,54818184,RTGS
26-02-2020,NEFT Credit - Crown Industries,TXN1037,0,12786825,67605009,RTGS
27-02-2020,RTGS Payment - Bangalore Thread Works,TXN1038,7747228,0,59857781,RTGS
28-02-2020,Electricity Bill - MSEDCL,ELEC202002,205203,0,59652578,NEFT
02-03-2020,NEFT Credit - Himalaya Exports,TXN1040,0,3406941,63059519,NEFT
03-03-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1041,5503498,0,57556021,RTGS
04-03-2020,NEFT Credit - Coastal Traders,TXN1042,0,7095124,64651145,RTGS
05-03-2020,Loan EMI - Punjab National Bank,EMI1202003,800000,0,63851145,NEFT
06-03-2020,NEFT Credit - Apex Corp,TXN1044,0,6145582,69996727,RTGS
09-03-2020,NEFT Credit - Central Trading,TXN1045,0,3934522,73931249,NEFT
11-03-2020,NEFT Credit - Prestige Manufacturing,TXN1046,0,6903623,80834872,RTGS
12-03-2020,RTGS Payment - Pune Engineering Works,TXN1047,12345015,0,68489857,RTGS
13-03-2020,NEFT Credit - Southern Corp,TXN1048,0,8360868,76850725,RTGS
16-03-2020,NEFT Credit - Sunrise Trading Co,TXN1049,0,8450606,85301331,RTGS
17-03-2020,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1050,5194944,0,80106387,RTGS
18-03-2020,NEFT Credit - Ganges Corp,TXN1051,0,6719144,86825531,RTGS
19-03-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1052,12552229,0,74273302,RTGS
20-03-2020,GST Payment - GSTIN MH29AA1234Z,GST202003,437435,0,73835867,NEFT
23-03-2020,NEFT Credit - Bharat Industries Ltd,TXN1054,0,12893167,86729034,RTGS
24-03-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1055,10641380,0,76087654,RTGS
25-03-2020,NEFT Credit - Deccan Industries,TXN1056,0,6347245,82434899,RTGS
26-03-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1057,9435439,0,72999460,RTGS
27-03-2020,NEFT Credit - Prestige Manufacturing,TXN1058,0,6768972,79768432,RTGS
30-03-2020,NEFT Credit - Prime Exports,TXN1059,0,12977414,92745846,RTGS
